cities,Joe,Kelly,Stephen,Henry,Sally,David,Barry,Bruce,Barbara,Peter,Mary,Robert,Ethan,George,Kate
Joe,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
Kelly,-1,0,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1
Stephen,-1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
Henry,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
Sally,-1,1,1,-1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1
David,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barry,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1
Bruce,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1
Barbara,1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1
Peter,1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1
Mary,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Robert,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,1,1
Ethan,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1
George,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1
Kate,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,0
